Temperature,Actual Conductivity,Dissolved Oxygen,Turbidity,Chlorophyll-a
30.26808,97.28281,7.328566,51.35211,5.400894
30.23012,97.27969,6.681071,41.1786,5.38094
30.23605,98.06376,5.16692,65.68519,5.041101
30.33456,97.53825,6.837663,44.34313,5.50243
30.29672,97.14965,7.985374,50.17608,5.535189
30.29035,97.28931,8.155993,52.82196,5.722612
30.25899,97.67211,6.932486,54.12137,5.323387
30.1825,97.10932,6.523068,54.84895,5.060917
30.16929,97.10249,6.200755,37.42058,5.482969
30.17307,98.22138,6.198699,36.97461,4.98155
30.33329,98.02147,6.334545,29.03939,5.059739
30.33282,98.29012,6.218771,66.93827,5.38291
30.32031,98.20156,6.657537,50.93935,5.012226
30.29617,97.53768,7.328629,51.85649,6.012514
30.32264,98.77122,8.184114,34.82466,4.966784
30.19841,98.48527,6.407041,43.08267,5.012554
30.27224,97.4873,6.654572,39.2652,5.619942
30.25747,99.02628,6.164259,42.61368,5.052659
30.21332,97.82111,6.067307,42.2462,4.910493
30.38667,98.63596,6.96904,49.01345,4.911685
30.50828,98.22206,8.572874,74.55036,5.473812
30.48199,98.14687,7.976831,39.73182,5.456906
30.29904,98.04618,7.612384,30.26538,5.230057
30.39987,97.77521,8.034027,52.48879,5.14991
30.49371,98.55116,7.732198,35.31334,5.884683
30.42195,98.52334,8.666697,46.96138,4.895497
30.13067,100.4759,5.385143,41.90449,4.570687
30.29418,100.1163,7.091915,111.8769,5.229959
30.42612,98.62306,8.78965,73.7504,5.353079
30.43973,98.31814,9.009928,74.9544,5.358881
30.46271,98.08883,8.680998,45.3089,5.27019
30.43309,98.00992,9.635263,65.49339,5.513026
30.34244,98.26267,8.502546,96.95776,5.520066
30.39505,97.90302,9.65876,78.86126,5.599661
30.30834,98.441,7.93639,57.25975,5.412891
30.30594,97.92221,8.388567,54.02995,5.286368
30.33544,97.64265,9.666044,75.8765,5.393878
30.31213,97.66982,9.419714,56.1638,5.971598
30.28482,97.67425,9.228372,92.12906,5.73163
30.27895,97.58401,9.246878,59.84147,5.708781
30.19348,98.23227,8.641566,69.92438,5.322421
30.23557,97.67431,9.166246,57.86007,5.355638
30.2441,97.46445,9.192893,50.51786,5.691467
30.14206,98.48836,8.526799,50.03663,5.064878
30.1879,97.57516,8.574193,97.987,5.251978
30.18256,97.41615,8.668184,77.48719,5.795686
30.16777,97.40178,8.425933,89.61001,5.882141
